x,y
-7.500012871,7.395832799
-7.118055597,8.090277202
-7.118055597,8.437499404
-7.500012871,8.437499404
-7.500012871,8.090277202
-7.118055597,8.784721605
-7.118055597,9.131943807
-7.500012871,9.131943807
-7.500012871,8.784721605
-7.118055597,9.479166009
-7.118055597,9.82638821
-7.500012871,9.82638821
-7.500012871,9.479166009
-6.423611194,7.395832799
-6.423611194,7.743055001
-6.770833395,7.743055001
-6.770833395,7.395832799
-6.423611194,8.090277202
-6.423611194,8.437499404
-6.770833395,8.437499404
-6.770833395,8.090277202
-5.729166791,7.395832799
-5.729166791,7.743055001
-6.076388992,7.743055001
-6.076388992,7.395832799
-5.729166791,8.090277202
-5.729166791,8.437499404
-6.076388992,8.437499404
-6.076388992,8.090277202
-6.423611194,8.784721605
-6.423611194,9.131943807
-6.770833395,9.131943807
-6.770833395,8.784721605
-6.423611194,9.479166009
-6.423611194,9.82638821
-6.770833395,9.82638821
-6.770833395,9.479166009
-5.729166791,8.784721605
-5.729166791,9.131943807
-6.076388992,9.131943807
-6.076388992,8.784721605
-5.729166791,9.479166009
-5.729166791,9.82638821
-6.076388992,9.82638821
-6.076388992,9.479166009
-5.034722388,-1.75e-05
-5.381944589,-1.75e-05
-4.340277985,-1.75e-05
-4.687500186,-1.75e-05
-5.034722388,0.45138842
-5.034722388,0.798610621
-5.381944589,0.798610621
-5.381944589,0.45138842
-5.034722388,1.145832939
-5.034722388,1.493055141
-5.381944589,1.493055141
-5.381944589,1.145832939
-4.340277985,0.45138842
-4.340277985,0.798610621
-4.687500186,0.798610621
-4.687500186,0.45138842
-4.340277985,1.145832939
-4.340277985,1.493055141
-4.687500186,1.493055141
-4.687500186,1.145832939
-3.645833582,-1.75e-05
-3.993055783,-1.75e-05
-2.951389179,-1.75e-05
-3.29861138,-1.75e-05
-3.645833582,0.45138842
-3.645833582,0.798610621
-3.993055783,0.798610621
-3.993055783,0.45138842
-3.645833582,1.145832939
-3.645833582,1.493055141
-3.993055783,1.493055141
-3.993055783,1.145832939
-2.951389179,0.45138842
-2.951389179,0.798610621
-3.29861138,0.798610621
-3.29861138,0.45138842
-2.951389179,1.145832939
-2.951389179,1.493055141
-3.29861138,1.493055141
-3.29861138,1.145832939
-5.034722388,1.840277342
-5.034722388,2.187499544
-5.381944589,2.187499544
-5.381944589,1.840277342
-5.034722388,2.534721745
-5.034722388,2.88194418
-5.381944589,2.88194418
-5.381944589,2.534721745
-4.340277985,1.840277342
-4.340277985,2.187499544
-4.687500186,2.187499544
-4.687500186,1.840277342
-4.340277985,2.534721745
-4.340277985,2.88194418
-4.687500186,2.88194418
-4.687500186,2.534721745
-5.034722388,3.229166381
-5.034722388,3.576388583
-5.381944589,3.576388583
-5.381944589,3.229166381
-5.034722388,3.923610784
-5.034722388,4.270832986
-5.381944589,4.270832986
-5.381944589,3.923610784
-4.340277985,3.229166381
-4.340277985,3.576388583
-4.687500186,3.576388583
-4.687500186,3.229166381
-4.340277985,3.923610784
-4.340277985,4.270832986
-4.687500186,4.270832986
-4.687500186,3.923610784
-3.645833582,1.840277342
-3.645833582,2.187499544
-3.993055783,2.187499544
-3.993055783,1.840277342
-3.645833582,2.534721745
-3.645833582,2.88194418
-3.993055783,2.88194418
-3.993055783,2.534721745
-2.951389179,1.840277342
-2.951389179,2.187499544
-3.29861138,2.187499544
-3.29861138,1.840277342
-2.951389179,2.534721745
-2.951389179,2.88194418
-3.29861138,2.88194418
-3.29861138,2.534721745
-3.645833582,3.229166381
-3.645833582,3.576388583
-3.993055783,3.576388583
-3.993055783,3.229166381
-3.645833582,3.923610784
-3.645833582,4.270832986
-3.993055783,4.270832986
-3.993055783,3.923610784
-2.951389179,3.229166381
-2.951389179,3.576388583
-3.29861138,3.576388583
-3.29861138,3.229166381
-2.951389179,3.923610784
-2.951389179,4.270832986
-3.29861138,4.270832986
-3.29861138,3.923610784
-2.256944776,-1.75e-05
-2.604166977,-1.75e-05
-1.562500373,-1.75e-05
-1.909722574,-1.75e-05
-2.256944776,0.45138842
-2.256944776,0.798610621
-2.604166977,0.798610621
-2.604166977,0.45138842
-2.256944776,1.145832939
-2.256944776,1.493055141
-2.604166977,1.493055141
-2.604166977,1.145832939
-1.562500373,0.45138842
-1.562500373,0.798610621
-1.909722574,0.798610621
-1.909722574,0.45138842
-1.562500373,1.145832939
-1.562500373,1.493055141
-1.909722574,1.493055141
-1.909722574,1.145832939
-0.868055969,-1.75e-05
-1.215278171,-1.75e-05
-0.173611566,-1.75e-05
-0.520833768,-1.75e-05
-0.868055969,0.45138842
-0.868055969,0.798610621
-1.215278171,0.798610621
-1.215278171,0.45138842
-0.868055969,1.145832939
-0.868055969,1.493055141
-1.215278171,1.493055141
-1.215278171,1.145832939
-0.173611566,0.45138842
-0.173611566,0.798610621
-0.520833768,0.798610621
-0.520833768,0.45138842
-0.173611566,1.145832939
-0.173611566,1.493055141
-0.520833768,1.493055141
-0.520833768,1.145832939
-2.256944776,1.840277342
-2.256944776,2.187499544
-2.604166977,2.187499544
-2.604166977,1.840277342
-2.256944776,2.534721745
-2.256944776,2.88194418
-2.604166977,2.88194418
-2.604166977,2.534721745
-1.562500373,1.840277342
-1.562500373,2.187499544
-1.909722574,2.187499544
-1.909722574,1.840277342
-1.562500373,2.534721745
-1.562500373,2.88194418
-1.909722574,2.88194418
-1.909722574,2.534721745
-2.256944776,3.229166381
-2.256944776,3.576388583
-2.604166977,3.576388583
-2.604166977,3.229166381
-2.256944776,3.923610784
-2.256944776,4.270832986
-2.604166977,4.270832986
-2.604166977,3.923610784
-1.562500373,3.229166381
-1.562500373,3.576388583
-1.909722574,3.576388583
-1.909722574,3.229166381
-1.562500373,3.923610784
-1.562500373,4.270832986
-1.909722574,4.270832986
-1.909722574,3.923610784
-0.868055969,1.840277342
-0.868055969,2.187499544
-1.215278171,2.187499544
-1.215278171,1.840277342
-0.868055969,2.534721745
-0.868055969,2.88194418
-1.215278171,2.88194418
-1.215278171,2.534721745
-0.173611566,1.840277342
-0.173611566,2.187499544
-0.520833768,2.187499544
-0.520833768,1.840277342
-0.173611566,2.534721745
-0.173611566,2.88194418
-0.520833768,2.88194418
-0.520833768,2.534721745
-0.868055969,3.229166381
-0.868055969,3.576388583
-1.215278171,3.576388583
-1.215278171,3.229166381
-0.868055969,3.923610784
-0.868055969,4.270832986
-1.215278171,4.270832986
-1.215278171,3.923610784
-0.173611566,3.229166381
-0.173611566,3.576388583
-0.520833768,3.576388583
-0.520833768,3.229166381
-0.173611566,3.923610784
-0.173611566,4.270832986
-0.520833768,4.270832986
-0.520833768,3.923610784
-5.034722388,4.618055187
-5.034722388,4.965277389
-5.381944589,4.965277389
-5.381944589,4.618055187
-5.034722388,5.31249959
-5.034722388,5.659721792
-5.381944589,5.659721792
-5.381944589,5.31249959
-4.340277985,4.618055187
-4.340277985,4.965277389
-4.687500186,4.965277389
-4.687500186,4.618055187
-4.340277985,5.31249959
-4.340277985,5.659721792
-4.687500186,5.659721792
-4.687500186,5.31249959
-5.034722388,6.006943993
-5.034722388,6.354166195
-5.381944589,6.354166195
-5.381944589,6.006943993
-5.034722388,6.701388396
-5.034722388,7.048610598
-5.381944589,7.048610598
-5.381944589,6.701388396
-4.340277985,6.006943993
-4.340277985,6.354166195
-4.687500186,6.354166195
-4.687500186,6.006943993
-4.340277985,6.701388396
-4.340277985,7.048610598
-4.687500186,7.048610598
-4.687500186,6.701388396
-3.645833582,4.618055187
-3.645833582,4.965277389
-3.993055783,4.965277389
-3.993055783,4.618055187
-3.645833582,5.31249959
-3.645833582,5.659721792
-3.993055783,5.659721792
-3.993055783,5.31249959
-2.951389179,4.618055187
-2.951389179,4.965277389
-3.29861138,4.965277389
-3.29861138,4.618055187
-2.951389179,5.31249959
-2.951389179,5.659721792
-3.29861138,5.659721792
-3.29861138,5.31249959
-3.645833582,6.006943993
-3.645833582,6.354166195
-3.993055783,6.354166195
-3.993055783,6.006943993
-3.645833582,6.701388396
-3.645833582,7.048610598
-3.993055783,7.048610598
-3.993055783,6.701388396
-2.951389179,6.006943993
-2.951389179,6.354166195
-3.29861138,6.354166195
-3.29861138,6.006943993
-2.951389179,6.701388396
-2.951389179,7.048610598
-3.29861138,7.048610598
-3.29861138,6.701388396
-5.034722388,7.395832799
-5.034722388,7.743055001
-5.381944589,7.743055001
-5.381944589,7.395832799
-5.034722388,8.090277202
-5.034722388,8.437499404
-5.381944589,8.437499404
-5.381944589,8.090277202
-4.340277985,7.395832799
-4.340277985,7.743055001
-4.687500186,7.743055001
-4.687500186,7.395832799
-4.340277985,8.090277202
-4.340277985,8.437499404
-4.687500186,8.437499404
-4.687500186,8.090277202
-5.034722388,8.784721605
-5.034722388,9.131943807
-5.381944589,9.131943807
-5.381944589,8.784721605
-5.034722388,9.479166009
-5.034722388,9.82638821
-5.381944589,9.82638821
-5.381944589,9.479166009
-4.340277985,8.784721605
-4.340277985,9.131943807
-4.687500186,9.131943807
-4.687500186,8.784721605
-4.340277985,9.479166009
-4.340277985,9.82638821
-4.687500186,9.82638821
-4.687500186,9.479166009
-3.645833582,7.395832799
-3.645833582,7.743055001
-3.993055783,7.743055001
-3.993055783,7.395832799
-3.645833582,8.090277202
