timestamp,joint_pos_0,joint_pos_1,joint_pos_2,joint_pos_3,joint_pos_4,joint_pos_5,joint_pos_6,joint_vel_0,joint_vel_1,joint_vel_2,joint_vel_3,joint_vel_4,joint_vel_5,joint_vel_6,ft_fx,ft_fy,ft_fz,ft_tx,ft_ty,ft_tz
2025-09-12T21:30:09.376703,-0.082848374,-1.25480731,1.099804703,-1.351434545,-1.745685403,-0.019913022,0,-0.082848374,-1.25480731,1.099804703,-1.351434545,-1.745685403,-0.019913022,0,0.0606,0.6294,-0.219,-0.01697,0.00969,-0.00394
2025-09-12T21:30:09.425794,-0.082848374,-1.254771547,1.099852387,-1.351446466,-1.745685403,-0.019936864,0,-0.082848374,-1.254771547,1.099852387,-1.351446466,-1.745685403,-0.019936864,0,0.1206,0.6294,-0.279,-0.01697,0.00769,-0.00194
2025-09-12T21:30:09.472760,-0.082836453,-1.254783468,1.099829499,-1.351482229,-1.745637242,-0.019960705,0,-0.082836453,-1.254783468,1.099829499,-1.351482229,-1.745637242,-0.019960705,0,0.1406,0.5894,-0.239,-0.01797,0.00869,-0.00294
2025-09-12T21:30:09.521686,-0.082824532,-1.25481923,1.099829499,-1.351434545,-1.745625321,-0.019924943,0,-0.082824532,-1.25481923,1.099829499,-1.351434545,-1.745625321,-0.019924943,0,0.0806,0.6094,-0.219,-0.01797,0.00969,-0.00394
2025-09-12T21:30:09.568849,-0.082836453,-1.254783468,1.099829499,-1.351434545,-1.745685403,-0.019973103,0,-0.082836453,-1.254783468,1.099829499,-1.351434545,-1.745685403,-0.019973103,0,0.0406,0.5294,-0.199,-0.01897,0.01069,-0.00194
2025-09-12T21:30:09.617015,-0.082836453,-1.25481923,1.099840943,-1.351434545,-1.745685403,-0.019913022,0,-0.082836453,-1.25481923,1.099840943,-1.351434545,-1.745685403,-0.019913022,0,0.0606,0.5894,-0.259,-0.01797,0.00869,-0.00394
2025-09-12T21:30:09.664938,-0.082848374,-1.25480731,1.099804703,-1.351470308,-1.745661084,-0.019936864,0,-0.082848374,-1.25480731,1.099804703,-1.351470308,-1.745661084,-0.019936864,0,0.0806,0.5894,-0.299,-0.01497,0.00769,-0.00194
2025-09-12T21:30:09.696880,-0.082836453,-1.254795389,1.099829499,-1.351410703,-1.745649163,-0.019948785,0,-0.082836453,-1.254795389,1.099829499,-1.351410703,-1.745649163,-0.019948785,0,0.1606,0.6494,-0.319,-0.01597,0.00569,-0.00194
2025-09-12T21:30:09.729084,-0.082836453,-1.254795389,1.099829499,-1.351470308,-1.745661084,-0.019948785,0,-0.082836453,-1.254795389,1.099829499,-1.351470308,-1.745661084,-0.019948785,0,0.0806,0.6294,-0.219,-0.01797,0.00869,-0.00294
2025-09-12T21:30:09.776955,-0.082848374,-1.25481923,1.099865739,-1.351422147,-1.745661084,-0.019936864,0,-0.082848374,-1.25481923,1.099865739,-1.351422147,-1.745661084,-0.019936864,0,0.1206,0.6094,-0.259,-0.01797,0.00769,-0.00294
