timestamp,joint_pos_0,joint_pos_1,joint_pos_2,joint_pos_3,joint_pos_4,joint_pos_5,joint_pos_6,joint_vel_0,joint_vel_1,joint_vel_2,joint_vel_3,joint_vel_4,joint_vel_5,joint_vel_6,ft_fx,ft_fy,ft_fz
2025-09-12T21:26:39.748626,0.115458965,-1.638128897,1.567226712,-1.736590525,-1.606612031,0.185238361,0,0.115458965,-1.638128897,1.567226712,-1.736590525,-1.606612031,0.185238361,0,-0.8194,-1.3906,-0.139
2025-09-12T21:26:39.780625,0.115411282,-1.6381947,1.567682568,-1.736171385,-1.606418435,0.185286045,0,0.115411282,-1.6381947,1.567682568,-1.736171385,-1.606418435,0.185286045,0,-1.0794,-1.5106,-0.019
2025-09-12T21:26:39.812697,0.1153512,-1.638593336,1.568212811,-1.735837122,-1.606237713,0.18534565,0,0.1153512,-1.638593336,1.568212811,-1.735837122,-1.606237713,0.18534565,0,-1.0194,-1.4506,-0.239
2025-09-12T21:26:39.844796,0.115291119,-1.639109274,1.568992917,-1.735404154,-1.605962578,0.185517788,0,0.115291119,-1.639109274,1.568992917,-1.735404154,-1.605962578,0.185517788,0,-1.0594,-1.4706,-0.139
2025-09-12T21:26:39.876708,0.115243912,-1.639589449,1.569805447,-1.735021254,-1.60573322,0.185925484,0,0.115243912,-1.639589449,1.569805447,-1.735021254,-1.60573322,0.185925484,0,-1.0194,-1.4106,0.001
2025-09-12T21:26:39.908709,0.115280628,-1.640141626,1.570484463,-1.734649321,-1.605397526,0.186358929,0,0.115280628,-1.640141626,1.570484463,-1.734649321,-1.605397526,0.186358929,0,-0.8594,-1.4106,-0.079
2025-09-12T21:26:39.940708,0.115306377,-1.640838285,1.570801083,-1.734168669,-1.605038468,0.187141418,0,0.115306377,-1.640838285,1.570801083,-1.734168669,-1.605038468,0.187141418,0,-1.0194,-1.4306,0.081
2025-09-12T21:26:39.972739,0.115548134,-1.641644617,1.57068855,-1.733639856,-1.604691807,0.188051701,0,0.115548134,-1.641644617,1.57068855,-1.733639856,-1.604691807,0.188051701,0,-1.1994,-1.4706,0.021
2025-09-12T21:26:40.004735,0.115972519,-1.642629286,1.570276562,-1.733038088,-1.60441858,0.188776493,0,0.115972519,-1.642629286,1.570276562,-1.733038088,-1.60441858,0.188776493,0,-1.0194,-1.2906,-0.359
2025-09-12T21:26:40.052780,0.116900921,-1.643757483,1.569776837,-1.73204722,-1.604323689,0.189361572,0,0.116900921,-1.643757483,1.569776837,-1.73204722,-1.604323689,0.189361572,0,-1.1394,-1.1306,-0.279
2025-09-12T21:26:40.084807,0.118448257,-1.645219465,1.569483105,-1.730283876,-1.604251687,0.189945698,0,0.118448257,-1.645219465,1.569483105,-1.730283876,-1.604251687,0.189945698,0,-0.8994,-1.3706,-0.519
2025-09-12T21:26:40.116837,0.120107651,-1.646140238,1.569568936,-1.728462835,-1.604143922,0.190316677,0,0.120107651,-1.646140238,1.569568936,-1.728462835,-1.604143922,0.190316677,0,-1.2394,-0.9706,-0.399
