timestamp,joint_pos_0,joint_pos_1,joint_pos_2,joint_pos_3,joint_pos_4,joint_pos_5,joint_pos_6,joint_vel_0,joint_vel_1,joint_vel_2,joint_vel_3,joint_vel_4,joint_vel_5,joint_vel_6,ft_fx,ft_fy,ft_fz,ft_tx,ft_ty,ft_tz
2025-09-12T21:19:50.813973,-0.17334396,-1.670521875,1.55997688,-1.498706655,-1.701082532,0.030657768,0,-0.17334396,-1.670521875,1.55997688,-1.498706655,-1.701082532,0.030657768,0,0.513,-0.1206,-0.0284,0.00522,0.03285,-0.0019
2025-09-12T21:19:50.846017,-0.173476998,-1.670535704,1.560539548,-1.498669938,-1.701467816,0.030645847,0,-0.173476998,-1.670535704,1.560539548,-1.498669938,-1.701467816,0.030645847,0,0.353,-0.0206,-0.1084,0.00322,0.02185,-0.0019
2025-09-12T21:19:50.878003,-0.173765484,-1.67065682,1.561163251,-1.498584585,-1.701827828,0.030693531,0,-0.173765484,-1.67065682,1.561163251,-1.498584585,-1.701827828,0.030693531,0,0.433,-0.0006,-0.1684,0.00022,0.03085,-0.0039
2025-09-12T21:19:50.926073,-0.174186532,-1.670836588,1.561857526,-1.498428659,-1.702203099,0.030705929,0,-0.174186532,-1.670836588,1.561857526,-1.498428659,-1.702203099,0.030705929,0,0.493,-0.0006,-0.1484,0.00322,0.02585,-0.0039
2025-09-12T21:19:50.958075,-0.174892728,-1.671123644,1.562828366,-1.498284177,-1.702914063,0.030657768,0,-0.174892728,-1.671123644,1.562828366,-1.498284177,-1.702914063,0.030657768,0,0.493,-0.1206,-0.0484,0.01022,0.03185,-0.0049
2025-09-12T21:19:50.990078,-0.175445859,-1.671256681,1.563459698,-1.498106794,-1.703516308,0.030693531,0,-0.175445859,-1.671256681,1.563459698,-1.498106794,-1.703516308,0.030693531,0,0.453,-0.1006,-0.0484,0.00122,0.02785,-0.0029
2025-09-12T21:19:51.022063,-0.176236455,-1.671509882,1.564104382,-1.498243646,-1.704067532,0.030668259,0,-0.176236455,-1.671509882,1.564104382,-1.498243646,-1.704067532,0.030668259,0,0.413,-0.1606,0.0516,0.00722,0.02785,-0.0019
2025-09-12T21:19:51.054078,-0.17706186,-1.671858927,1.564459149,-1.49861844,-1.704414193,0.030349731,0,-0.17706186,-1.671858927,1.564459149,-1.49861844,-1.704414193,0.030349731,0,0.473,-0.0606,0.0116,0.00622,0.02585,-0.0009
2025-09-12T21:19:51.086100,-0.177923981,-1.672268053,1.564600293,-1.499222593,-1.704700772,0.02975893,0,-0.177923981,-1.672268053,1.564600293,-1.499222593,-1.704700772,0.02975893,0,0.373,-0.1806,-0.0084,0.00722,0.02085,0.0001
2025-09-12T21:19:51.118136,-0.17879564,-1.672783991,1.564613644,-1.500331716,-1.704844777,0.028793812,0,-0.17879564,-1.672783991,1.564613644,-1.500331716,-1.704844777,0.028793812,0,0.473,-0.0006,-0.1884,0.00022,0.02985,-0.0009
2025-09-12T21:19:51.150127,-0.179596249,-1.67332234,1.564785306,-1.501437978,-1.705001179,0.027611732,0,-0.179596249,-1.67332234,1.564785306,-1.501437978,-1.705001179,0.027611732,0,0.373,0.0194,-0.2484,-0.00478,0.02485,-0.0019
2025-09-12T21:19:51.182165,-0.180226628,-1.673782011,1.565182034,-1.502096013,-1.705107514,0.026722431,0,-0.180226628,-1.673782011,1.565182034,-1.502096013,-1.705107514,0.026722431,0,0.373,-0.0006,0.1316,-0.00078,0.01885,-0.0019
2025-09-12T21:19:51.214246,-0.180640523,-1.674605986,1.565626446,-1.502744512,-1.705179993,0.025650978,0,-0.180640523,-1.674605986,1.565626446,-1.502744512,-1.705179993,0.025650978,0,0.413,-0.0006,0.1316,-0.00078,0.03285,-0.0009
2025-09-12T21:19:51.246230,-0.180634801,-1.676261087,1.566236798,-1.503411607,-1.705253903,0.024348259,0,-0.180634801,-1.676261087,1.566236798,-1.503411607,-1.705253903,0.024348259,0,0.473,0.1994,0.0716,-0.00978,0.03085,-0.0009
2025-09-12T21:19:51.294223,-0.180466954,-1.678828379,1.566858594,-1.503413038,-1.705411259,0.023198605,0,-0.180466954,-1.678828379,1.566858594,-1.503413038,-1.705411259,0.023198605,0,0.473,-0.0406,0.1716,0.00122,0.03185,-0.0009
2025-09-12T21:19:51.326285,-0.180264298,-1.683478495,1.567747418,-1.503066854,-1.705770795,0.021905899,0,-0.180264298,-1.683478495,1.567747418,-1.503066854,-1.705770795,0.021905899,0,0.453,-0.2606,-0.1884,0.01322,0.02685,-0.0029
2025-09-12T21:19:51.358295,-0.180168931,-1.687045237,1.568453137,-1.503057317,-1.705854241,0.021191597,0,-0.180168931,-1.687045237,1.568453137,-1.503057317,-1.705854241,0.021191597,0,0.493,-0.1206,0.2316,0.00222,0.02885,-0.0029
2025-09-12T21:19:51.390270,-0.18003637,-1.691409727,1.569269482,-1.50325282,-1.705925767,0.020690918,0,-0.18003637,-1.691409727,1.569269482,-1.50325282,-1.705925767,0.020690918,0,0.513,-0.0606,0.0516,0.00122,0.02885,-0.0009
2025-09-12T21:19:51.438295,-0.179830853,-1.696324011,1.57020599,-1.503650979,-1.70597345,0.020343781,0,-0.179830853,-1.696324011,1.57020599,-1.503650979,-1.70597345,0.020343781,0,0.413,-0.0206,-0.0684,0.00322,0.02985,-0.0019
2025-09-12T21:19:51.470432,-0.179388348,-1.704020639,1.572021786,-1.504346208,-1.705961529,0.019828796,0,-0.179388348,-1.704020639,1.572021786,-1.504346208,-1.705961529,0.019828796,0,0.533,-0.1406,-0.1884,0.01022,0.03085,-0.0019
2025-09-12T21:19:51.502439,-0.179087464,-1.710358759,1.573986355,-1.504909353,-1.705876652,0.01956749,0,-0.179087464,-1.710358759,1.573986355,-1.504909353,-1.705876652,0.01956749,0,0.353,-0.0606,-0.4284,0.01222,0.03085,0.0001
2025-09-12T21:19:51.534356,-0.178604428,-1.716517111,1.576862637,-1.505266981,-1.70596439,0.019412994,0,-0.178604428,-1.716517111,1.576862637,-1.505266981,-1.70596439,0.019412994,0,0.373,-0.1606,-0.3084,0.01722,0.02885,0.0001
2025-09-12T21:19:51.566357,-0.177777115,-1.723459383,1.581053082,-1.505566434,-1.706315343,0.019341946,0,-0.177777115,-1.723459383,1.581053082,-1.505566434,-1.706315343,0.019341946,0,0.333,-0.1006,-0.3684,0.00722,0.02285,-0.0019
2025-09-12T21:19:51.598403,-0.176916901,-1.73099341,1.586475674,-1.505815343,-1.70647556,0.019318581,0,-0.176916901,-1.73099341,1.586475674,-1.505815343,-1.70647556,0.019318581,0,0.213,-0.3206,-0.3884,0.01722,0.00885,0.0001
2025-09-12T21:19:51.630421,-0.176115815,-1.738937994,1.593124692,-1.505972223,-1.706161801,0.019378662,0,-0.176115815,-1.738937994,1.593124692,-1.505972223,-1.706161801,0.019378662,0,0.533,-0.2806,-0.3884,0.01822,0.03485,0.0001
2025-09-12T21:19:51.662534,-0.175278012,-1.747022768,1.600712125,-1.506248788,-1.705943886,0.019429207,0,-0.175278012,-1.747022768,1.600712125,-1.506248788,-1.705943886,0.019429207,0,0.373,-0.3406,-0.2484,0.02522,0.01985,-0.0049
2025-09-12T21:19:51.694510,-0.174453561,-1.754901072,1.608307187,-1.506500081,-1.70558149,0.019673824,0,-0.174453561,-1.754901072,1.608307187,-1.506500081,-1.70558149,0.019673824,0,0.393,-0.7406,-0.3084,0.03522,0.02985,-0.0039
2025-09-12T21:19:51.742494,-0.173461262,-1.763067385,1.616554562,-1.506849126,-1.705027882,0.020132542,0,-0.173461262,-1.763067385,1.616554562,-1.506849126,-1.705027882,0.020132542,0,0.333,-0.7406,-0.2684,0.04722,0.02085,-0.0039
2025-09-12T21:19:51.774508,-0.172277753,-1.771639486,1.626024548,-1.507460908,-1.704588238,0.021410942,0,-0.172277753,-1.771639486,1.626024548,-1.507460908,-1.704588238,0.021410942,0,0.433,-0.8806,-0.2884,0.05222,0.03185,-0.0059
2025-09-12T21:19:51.806578,-0.171681706,-1.775918623,1.631199185,-1.508091287,-1.704486195,0.0227561,0,-0.171681706,-1.775918623,1.631199185,-1.508091287,-1.704486195,0.0227561,0,0.173,-0.7606,-0.2284,0.04522,0.00885,-0.0039
2025-09-12T21:19:51.838535,-0.171012704,-1.779205938,1.6357711,-1.509213285,-1.703931157,0.023854733,0,-0.171012704,-1.779205938,1.6357711,-1.509213285,-1.703931157,0.023854733,0,0.433,-1.1806,-0.0884,0.07422,0.01885,-0.0039
2025-09-12T21:19:51.870565,-0.170390908,-1.781166693,1.639469449,-1.511541681,-1.703229252,0.024897099,0,-0.170390908,-1.781166693,1.639469449,-1.511541681,-1.703229252,0.024897099,0,0.273,-0.9006,-0.1084,0.05322,0.01785,-0.0009
2025-09-12T21:19:51.902625,-0.169805352,-1.781385561,1.642105405,-1.514609651,-1.702326123,0.025927067,0,-0.169805352,-1.781385561,1.642105405,-1.514609651,-1.702326123,0.025927067,0,0.393,-1.1606,-0.2884,0.07022,0.01185,-0.0029
2025-09-12T21:19:51.934583,-0.169256989,-1.779710909,1.643860165,-1.518078641,-1.701401059,0.02673769,0,-0.169256989,-1.779710909,1.643860165,-1.518078641,-1.701401059,0.02673769,0,0.213,-0.6606,-0.0884,0.03922,0.00885,-0.0059
2025-09-12T21:19:51.966610,-0.168815438,-1.776485582,1.644546811,-1.521451787,-1.700573746,0.027444363,0,-0.168815438,-1.776485582,1.644546811,-1.521451787,-1.700573746,0.027444363,0,0.333,-1.0006,-0.1284,0.04422,0.02185,-0.0019
2025-09-12T21:19:51.998630,-0.168493573,-1.771576544,1.643822018,-1.524647073,-1.699639622,0.028214931,0,-0.168493573,-1.771576544,1.643822018,-1.524647073,-1.699639622,0.028214931,0,0.093,-0.4406,0.1716,0.01522,0.01785,-0.0019
2025-09-12T21:19:52.030595,-0.168121163,-1.765233656,1.641996686,-1.527467565,-1.698444668,0.029113293,0,-0.168121163,-1.765233656,1.641996686,-1.527467565,-1.698444668,0.029113293,0,0.333,-0.4806,-0.0684,0.00422,0.03185,-0.0069
2025-09-12T21:19:52.062642,-0.167528931,-1.757423063,1.639141385,-1.529991941,-1.697345082,0.029779434,0,-0.167528931,-1.757423063,1.639141385,-1.529991941,-1.697345082,0.029779434,0,0.253,-0.2006,-0.4084,-0.00878,0.02385,-0.0029
2025-09-12T21:19:52.094694,-0.166328732,-1.748242041,1.63516647,-1.531988935,-1.69590265,0.030282021,0,-0.166328732,-1.748242041,1.63516647,-1.531988935,-1.69590265,0.030282021,0,-0.047,-0.7606,0.1116,0.04122,0.00785,-0.0009
2025-09-12T21:19:52.126691,-0.163515393,-1.736656805,1.62959129,-1.533724622,-1.693910901,0.030810356,0,-0.163515393,-1.736656805,1.62959129,-1.533724622,-1.693910901,0.030810356,0,-0.567,-0.5206,0.2516,0.02822,-0.03515,-0.0019
2025-09-12T21:19:52.158697,-0.159109418,-1.724442144,1.622965161,-1.535194234,-1.692132775,0.031400204,0,-0.159109418,-1.724442144,1.622965161,-1.535194234,-1.692132775,0.031400204,0,-0.127,-0.6806,-0.1084,0.04322,-0.01515,-0.0019
2025-09-12T21:19:52.190737,-0.152259652,-1.710155149,1.614515607,-1.536416368,-1.690820042,0.032182693,0,-0.152259652,-1.710155149,1.614515607,-1.536416368,-1.690820042,0.032182693,0,-0.567,-0.3406,-0.1884,0.02922,-0.04215,-0.0019
2025-09-12T21:19:52.238766,-0.143475835,-1.694477221,1.604950253,-1.537038164,-1.689904515,0.033238411,0,-0.143475835,-1.694477221,1.604950253,-1.537038164,-1.689904515,0.033238411,0,-0.227,-0.5006,0.3516,0.04022,-0.01315,-0.0009
2025-09-12T21:19:52.270822,-0.130702798,-1.674429079,1.59109718,-1.537792043,-1.689531151,0.034461498,0,-0.130702798,-1.674429079,1.59109718,-1.537792043,-1.689531151,0.034461498,0,-0.047,-0.2406,0.0716,0.01522,0.00685,-0.0009
2025-09-12T21:19:52.302790,-0.120823208,-1.659207006,1.579990689,-1.538074331,-1.689376179,0.035630703,0,-0.120823208,-1.659207006,1.579990689,-1.538074331,-1.689376179,0.035630703,0,0.513,-0.2406,0.2516,0.00422,0.02285,-0.0009
2025-09-12T21:19:52.334846,-0.111015622,-1.643527647,1.566780392,-1.53780158,-1.689448659,0.036908627,0,-0.111015622,-1.643527647,1.566780392,-1.53780158,-1.689448659,0.036908627,0,0.693,-0.0006,0.3516,-0.00878,0.02785,-0.0059
2025-09-12T21:19:52.366813,-0.101821725,-1.627815863,1.55196983,-1.537235574,-1.689398591,0.037949562,0,-0.101821725,-1.627815863,1.55196983,-1.537235574,-1.689398591,0.037949562,0,0.533,-0.3406,0.5716,0.01022,0.03685,-0.0009
2025-09-12T21:19:52.398838,-0.093538586,-1.612749239,1.536051099,-1.53659852,-1.689205949,0.03884697,0,-0.093538586,-1.612749239,1.536051099,-1.53659852,-1.689205949,0.03884697,0,0.513,-0.0606,0.1316,-0.00478,0.04385,0.0001
2025-09-12T21:19:52.430915,-0.086062256,-1.598261019,1.520038907,-1.535840349,-1.688989941,0.039708138,0,-0.086062256,-1.598261019,1.520038907,-1.535840349,-1.688989941,0.039708138,0,0.313,0.1394,0.4916,-0.00978,0.02385,0.0011
